접수번호,법인구분,고유번호,회사명,이사회결의일(결정일),사외이사 참석여부(참석),사외이사 참석여부(불참),감사(감사위원)참석 여부,신주의 종류와 수(보통주식),신주의 종류와 수(기타주식),1주당 액면가액,증자전 발행주식총수(보통주식),증자전 발행주식총수(기타주식),신주배정기준일,1주당 신주배정 주식수(보통주식),1주당 신주배정 주식수(기타주식),신주의 배당기산일,신주권교부예정일,신주의 상장 예정일,#N/A
rcept_no,corp_cls,corp_code,corp_name,bddd,od_a_at_t,od_a_at_b,adt_a_atn,nstk_ostk_cnt,nstk_estk_cnt,fv_ps,bfic_tisstk_ostk,bfic_tisstk_estk,nstk_asstd,nstk_ascnt_ps_ostk,nstk_ascnt_ps_estk,nstk_dividrk,nstk_dlprd,nstk_lstprd,회사명
2.01612E+13,Y,123143,보령,2016년 12월 15일,1,-,참석,"410,000",-,"2,500","8,430,000",-,2017년 01월 01일,0.05066289,-,2017년 01월 01일,2017년 01월 25일,2017년 01월 26일,보령
2.01512E+13,Y,123143,보령,2015년 12월 15일,1,-,참석,"390,000",-,"2,500","8,040,000",-,2016년 01월 01일,0.05011244,-,2016년 01월 01일,2016년 01월 28일,2016년 01월 29일,보령
2.01804E+13,Y,121969,에쓰씨엔지니어링,2018년 03월 12일,1,0,참석,"11,255,380",-,500,"11,255,382",-,2018년 03월 29일,1,-,2018년 01월 01일,2018년 04월 26일,2018년 04월 11일,에쓰씨엔지니어링
2.01502E+13,Y,414601,유니퀘스트,2015년 02월 06일,3,-,참석,"13,473,483",-,500,"13,505,483",-,2015년 02월 23일,1,-,2015년 01월 01일,2015년 03월 18일,2015년 03월 19일,유니퀘스트
2.01903E+13,Y,171636,한솔홀딩스,2019년 02월 26일,3,-,참석,"823,808",-,"5,000","46,359,871",-,2019년 05월 15일,0.02,-,2019년 01월 01일,2019년 06월 05일,2019년 06월 07일,한솔홀딩스
2.02006E+13,Y,164724,현대엘리베이터,2020년 06월 18일,3,-,참석,"12,783,667",-,"5,000","25,567,334",-,2020년 07월 03일,0.5,-,2020년 01월 01일,-,2020년 07월 22일,현대엘리베이터
2.02102E+13,K,365590,HLB생명과학,2021년 02월 26일,2,0,참석,"47,090,453",-,500,"47,090,453",-,2021년 03월 16일,1,-,2021년 01월 01일,-,2021년 04월 01일,HLB생명과학
2.01603E+13,K,336817,HLB제약,2016년 03월 28일,1,-,참석,"3,776,672",-,500,"7,553,345",-,2016년 04월 14일,0.5,-,2016년 01월 01일,2016년 05월 10일,2016년 05월 11일,HLB제약
2.02303E+13,K,552859,HLB테라퓨틱스,2023년 02월 28일,2,-,참석,"34,684,900",-,500,"34,994,538",-,2023년 03월 16일,1,-,2023년 01월 01일,-,2023년 04월 11일,HLB테라퓨틱스
2.02308E+13,K,532059,그린생명과학,2023년 08월 22일,3,-,참석,"5,000,000",-,500,"15,000,000",-,2023년 09월 06일,0.3333333,-,2023년 01월 01일,-,2023년 09월 22일,그린생명과학
2.01612E+13,K,876865,네오오토,2016년 12월 12일,1,0,참석,"2,624,963",-,500,"5,250,000",-,2017년 01월 01일,0.5,-,2017년 01월 01일,2017년 01월 17일,2017년 01월 18일,네오오토
2.01608E+13,K,523307,다원시스,2016년 08월 25일,2,-,참석,"7,980,597",-,500,"16,056,572",-,2016년 09월 12일,0.5,-,2016년 01월 01일,2016년 10월 11일,2016년 10월 12일,다원시스
2.02111E+13,K,1344831,딥노이드,2021년 11월 22일,1,1,참석,"4,638,873","43,324",500,"4,638,873","43,324",2021년 12월 07일,1,1,2021년 01월 01일,-,2021년 12월 22일,딥노이드
2.02403E+13,K,1344831,딥노이드,2024년 03월 25일,1,-,참석,"11,210,634","47,260",500,"11,210,634","47,260",2024년 04월 09일,1,1,2024년 01월 01일,-,2024년 05월 03일,딥노이드
2.01612E+13,K,568461,보광산업,2016년 12월 16일,2,-,참석,"11,490,000",-,500,"22,980,000",-,2017년 01월 06일,0.5,-,2017년 01월 01일,2017년 02월 01일,2017년 02월 02일,보광산업
2.01609E+13,K,568461,보광산업,2016년 09월 08일,2,-,참석,"11,490,000",-,500,"11,490,000",-,2016년 09월 30일,1,-,2016년 01월 01일,2016년 10월 24일,2016년 10월 25일,보광산업
2.02111E+13,K,1014657,비즈니스온,2021년 11월 01일,1,0,참석,"11,179,723",-,500,"11,376,440",-,2021년 11월 17일,1,-,2021년 01월 01일,-,2021년 12월 06일,비즈니스온
2.02103E+13,K,1109070,비피도,2021년 03월 16일,1,-,불참,"4,090,000",-,500,"4,090,000",-,2021년 04월 02일,1,-,2021년 01월 01일,-,2021년 04월 23일,비피도
2.02308E+13,K,1526806,삼기이브이,2023년 08월 17일,2,0,참석,"42,897,180",-,100,"14,299,060",-,2023년 09월 01일,3,-,2023년 01월 01일,-,2023년 09월 22일,삼기이브이
2.01511E+13,K,351630,세코닉스,2015년 11월 16일,1,-,참석,"2,387,782",-,500,"8,117,475",-,2015년 12월 02일,0.3,-,2015년 01월 01일,2015년 12월 18일,2015년 12월 21일,세코닉스
2.02206E+13,K,982023,실리콘투,2022년 06월 30일,1,1,참석,"50,147,695",-,500,"10,029,539",-,2022년 07월 15일,5,-,2022년 01월 01일,-,2022년 08월 02일,실리콘투
2.01803E+13,K,545734,아미코젠,2018년 03월 15일,-,-,참석,"9,595,755",-,500,"9,595,755",-,2018년 04월 03일,1,-,2018년 01월 01일,2018년 04월 20일,2018년 04월 23일,아미코젠
2.02207E+13,K,561732,아스플로,2022년 07월 19일,1,-,참석,"8,889,826",-,500,"4,444,913",-,2022년 08월 03일,2,-,2022년 01월 01일,-,2022년 08월 19일,아스플로
2.02103E+13,K,554352,아이큐어,2021년 02월 22일,1,-,참석,"1,483,538",-,500,"7,549,489",-,2021년 03월 09일,0.2,-,2021년 01월 01일,-,2021년 03월 31일,아이큐어
2.02111E+13,K,554352,아이큐어,2021년 11월 19일,1,-,참석,"9,377,291",-,500,"9,514,972",-,2021년 12월 07일,1,-,2021년 01월 01일,-,2021년 12월 27일,아이큐어
2.02111E+13,K,1309795,알로이스,2021년 11월 17일,-,1,불참,"17,291,804",-,100,"17,329,414",-,2021년 12월 03일,1,-,2021년 01월 01일,-,2021년 12월 23일,알로이스
2.01503E+13,K,137915,에스엠코어,2015년 03월 06일,-,1,불참,"365,020",-,500,"7,300,409",-,2015년 03월 31일,0.05,-,2015년 01월 01일,2015년 04월 21일,2015년 04월 22일,에스엠코어
2.01505E+13,K,137915,에스엠코어,2015년 05월 20일,-,1,불참,"7,664,316",-,500,"7,665,429",-,2015년 06월 08일,1,-,2015년 01월 01일,2015년 06월 29일,2015년 06월 30일,에스엠코어
2.01607E+13,K,535481,에스와이,2016년 07월 12일,1,-,참석,"5,950,000",-,500,"6,200,000",-,2016년 07월 28일,1,-,2016년 01월 01일,2016년 08월 19일,2016년 08월 22일,에스와이
2.02006E+13,K,1222432,에스제이그룹,2020년 06월 15일,1,-,불참,"6,571,228",-,500,"3,294,600",-,2020년 06월 30일,2,-,2020년 01월 01일,-,2020년 07월 20일,에스제이그룹
2.01611E+13,K,620558,에이비프로바이오,2016년 11월 29일,2,-,참석,"244,982,150",-,100,"122,491,075",-,2016년 12월 15일,2,-,2016년 01월 01일,2017년 01월 05일,2017년 01월 06일,에이비프로바이오
2.01511E+13,K,620558,에이비프로바이오,2015년 11월 18일,1,-,참석,"11,548,800",-,500,"11,548,800",-,2015년 12월 03일,1,-,2015년 01월 01일,2015년 12월 23일,2015년 12월 24일,에이비프로바이오
2.01503E+13,K,925295,에프엔씨엔터,2015년 03월 05일,2,-,참석,"6,302,915","14,400",500,"6,302,915","14,400",2015년 03월 20일,1,1,2015년 01월 01일,2015년 04월 09일,2015년 04월 10일,에프엔씨엔터
2.02202E+13,K,877174,엠브레인,2022년 02월 09일,1,0,불참,"8,968,459",-,500,"8,968,459",-,2022년 02월 25일,1,-,2021년 07월 01일,-,2022년 03월 17일,엠브레인
2.02006E+13,K,602172,와이엠티,2020년 06월 11일,1,-,참석,"7,405,200",-,500,"7,405,200",-,2020년 08월 01일,1,-,2020년 01월 01일,2020년 08월 20일,2020년 08월 20일,와이엠티
2.01712E+13,K,602172,와이엠티,2017년 12월 11일,1,-,참석,"3,702,600",-,500,"3,702,600",-,2018년 01월 01일,1,-,2018년 01월 01일,2018년 01월 18일,2018년 01월 19일,와이엠티
2.02206E+13,K,1459212,원준,2022년 06월 23일,3,-,참석,"10,040,382",-,100,"5,020,191",-,2022년 07월 13일,2,-,2022년 01월 01일,-,2022년 07월 29일,원준
2.02106E+13,K,765851,위더스제약,2021년 05월 27일,1,0,참석,"4,396,207",-,200,"8,792,415",-,2021년 06월 14일,0.5,-,2021년 01월 01일,-,2021년 07월 01일,위더스제약
2.02102E+13,K,374738,위세아이텍,2021년 02월 16일,1,-,참석,"2,122,263",-,500,"4,453,611",-,2021년 03월 04일,0.5,-,2021년 01월 01일,-,2021년 03월 30일,위세아이텍
2.02304E+13,K,1276327,위지윅스튜디오,2023년 04월 14일,2,-,참석,"128,286,663",-,500,"42,762,221",-,2023년 05월 03일,3,-,2023년 01월 01일,-,2023년 05월 26일,위지윅스튜디오
2.01912E+13,K,1276327,위지윅스튜디오,2019년 12월 10일,-,-,불참,"19,143,906",-,500,"9,571,953",-,2020년 01월 03일,2,-,2020년 01월 01일,-,2020년 01월 23일,위지윅스튜디오
2.01512E+13,K,531014,유진테크,2015년 12월 10일,0,1,참석,"543,615",-,500,"22,372,427",-,2016년 01월 01일,0.025,-,2016년 01월 01일,2016년 01월 21일,2016년 01월 22일,유진테크
2.02112E+13,K,1142400,이루다,2021년 12월 14일,1,-,불참,"775,979",-,500,"7,815,060",-,2022년 01월 01일,0.1,-,2022년 01월 01일,-,2022년 01월 25일,이루다
2.02202E+13,K,1142400,이루다,2022년 02월 07일,1,-,참석,"8,697,900",-,500,"8,755,914",-,2022년 02월 24일,1,-,2022년 01월 01일,-,2022년 03월 23일,이루다
2.02204E+13,K,454399,이상네트웍스,2022년 03월 15일,1,-,참석,"985,000",-,500,"9,015,000",-,2022년 03월 31일,0.1104684,-,2022년 01월 01일,-,2022년 04월 25일,이상네트웍스
2.0171E+13,K,819073,인크로스,2017년 10월 31일,1,-,참석,"4,731,391",-,500,"3,154,261",-,2017년 11월 15일,1.5,-,2017년 01월 01일,2017년 12월 01일,2017년 12월 04일,인크로스
2.02206E+13,K,819073,인크로스,2022년 06월 07일,2,1,참석,"4,786,445",-,500,"8,056,777",-,2022년 06월 22일,0.6620585,-,2022년 01월 01일,-,2022년 07월 11일,인크로스
2.01602E+13,K,545929,제넥신,2016년 02월 17일,2,0,참석,"8,464,414","580,306",500,"8,464,414","580,306",2016년 03월 03일,1,1,2016년 01월 01일,2016년 03월 23일,2016년 03월 24일,제넥신
2.02401E+13,K,442570,제우스,2024년 01월 02일,-,1,참석,"20,677,990",-,500,"10,339,000",-,2024년 01월 17일,2,-,2024년 01월 01일,-,2024년 02월 08일,제우스
2.02103E+13,K,361381,제이브이엠,2021년 03월 08일,3,-,참석,"5,758,984",-,500,"6,330,908",-,2021년 03월 31일,1,-,2021년 01월 01일,-,2021년 04월 23일,제이브이엠
2.02401E+13,K,1351080,지아이이노베이션,2024년 01월 04일,5,-,참석,"22,067,300",-,500,"22,070,300",-,2024년 01월 22일,1,-,2024년 01월 01일,-,2024년 02월 15일,지아이이노베이션
2.01712E+13,K,525642,코오롱생명과학,2017년 12월 08일,1,-,참석,"3,801,466",-,500,"7,610,890",-,2018년 01월 01일,0.5,-,2018년 01월 01일,2018년 01월 24일,2018년 01월 25일,코오롱생명과학
2.02401E+13,K,1207761,퀀텀온,2023년 12월 27일,1,1,-,"56,390,020",-,500,"14,097,505",-,-,4,-,2024년 01월 01일,-,-,퀀텀온
2.02212E+13,K,1033591,큐알티,2022년 12월 05일,3,1,참석,"7,969,112",-,500,"3,984,556",-,2022년 12월 20일,2,-,2022년 01월 01일,-,2023년 01월 10일,큐알티
2.02009E+13,K,397191,팬엔터테인먼트,2020년 09월 14일,-,1,불참,"13,504,985",-,500,"13,742,997",-,2020년 09월 29일,1,-,2020년 01월 01일,-,2020년 10월 22일,팬엔터테인먼트
2.01807E+13,K,415868,펩트론,2018년 07월 10일,1,-,참석,"7,663,250",-,500,"7,663,250",-,2018년 07월 26일,1,-,2018년 01월 01일,2018년 08월 09일,2018년 08월 10일,펩트론
2.02209E+13,K,1365825,피에스케이,2022년 09월 05일,2,-,참석,"14,483,357",-,500,"14,483,357",-,2022년 09월 22일,1,-,2022년 01월 01일,-,2022년 10월 20일,피에스케이
2.01904E+13,K,612294,피엔티,2019년 04월 23일,5,2,불참,"8,754,450",-,500,"8,974,977",-,2019년 05월 08일,1,-,2019년 01월 01일,2019년 05월 29일,2019년 05월 30일,피엔티
2.02108E+13,K,1524507,핀텔,2021년 08월 13일,2,-,불참,"6,318,076",-,500,"1,579,519",-,2021년 09월 01일,4,-,2021년 01월 01일,2021년 09월 16일,-,핀텔
2.02109E+13,K,528515,한라IMS,2021년 09월 06일,2,0,참석,"5,872,489",-,500,"11,744,978",-,2021년 09월 23일,0.5,-,2021년 01월 01일,-,2021년 10월 15일,한라IMS
2.02405E+13,K,347062,현대바이오랜드,2024년 05월 02일,3,-,참석,"15,000,000",-,500,"15,000,000",-,2024년 05월 20일,1,-,2024년 01월 01일,-,2024년 06월 13일,현대바이오랜드
2.02401E+13,N,976615,틸론,2024년 01월 30일,2,-,참석,"5,363,645","200,000",500,"5,363,645","200,000",2024년 02월 15일,1,1,2024년 01월 01일,-,2024년 03월 11일,틸론
2.01811E+13,Y,1205851,HD현대일렉트릭,2018년 11월 09일,2,1,참석,"10,151,352",-,"5,000","10,205,783",-,2018년 11월 26일,1,-,2018년 01월 01일,2018년 12월 17일,2018년 12월 18일,HD현대일렉트릭
2.01908E+13,Y,112679,대창단조,2019년 08월 30일,3,-,-,"857,223",-,"5,000","2,000,000",-,2019년 09월 19일,0.4499998,-,2019년 01월 01일,2019년 10월 11일,2019년 10월 11일,대창단조
2.02304E+13,Y,141404,영풍제지,2023년 04월 04일,3,-,참석,"26,500,986",-,500,"19,981,162",-,2023년 04월 20일,1.5,-,2023년 01월 01일,-,2023년 05월 12일,영풍제지
2.01712E+13,Y,145109,유한양행,2017년 12월 13일,3,0,참석,"543,458",-,"5,000","11,665,896","236,188",2018년 01월 01일,0.05,0.05,2018년 01월 01일,2018년 01월 19일,2018년 01월 22일,유한양행
2.01812E+13,Y,145109,유한양행,2018년 12월 12일,3,0,참석,"567,761",-,"5,000","12,209,354","236,188",2019년 01월 01일,0.05,0.05,2019년 01월 01일,2019년 01월 21일,2019년 01월 22일,유한양행
2.01912E+13,Y,145109,유한양행,2019년 12월 10일,3,0,참석,"594,247",-,"5,000","12,777,115","236,188",2020년 01월 01일,0.05,0.05,2020년 01월 01일,-,2020년 01월 22일,유한양행
2.01612E+13,Y,145109,유한양행,2016년 12월 14일,2,0,참석,"513,350",-,"5,000","11,152,546","236,188",2017년 01월 01일,0.05,0.05,2017년 01월 01일,2017년 01월 20일,2017년 01월 23일,유한양행
2.02112E+13,Y,145109,유한양행,2021년 12월 06일,5,0,참석,"3,258,517",-,"1,000","69,972,959","1,180,940",2022년 01월 01일,0.05,0.05,2022년 01월 01일,-,2022년 01월 21일,유한양행
2.02211E+13,Y,145109,유한양행,2022년 11월 22일,5,0,참석,"3,407,181",-,"1,000","73,231,476","1,180,940",2023년 01월 01일,0.05,0.05,2023년 01월 01일,-,2023년 01월 20일,유한양행
2.02012E+13,Y,145109,유한양행,2020년 12월 11일,3,0,참석,"3,116,149",-,"1,000","66,856,810","1,180,940",2021년 01월 01일,0.05,0.05,2021년 01월 01일,-,2021년 01월 22일,유한양행
2.02311E+13,Y,145109,유한양행,2023년 11월 24일,3,1,참석,"3,570,407",-,"1,000","76,638,657","1,180,940",2024년 01월 01일,0.05,0.05,2024년 01월 01일,-,2024년 01월 19일,유한양행
2.01705E+13,K,995993,DXVX,2017년 05월 26일,1,-,참석,"3,569,923",-,500,"2,379,949",-,2017년 06월 12일,1.5,-,2017년 01월 01일,2017년 07월 03일,2017년 07월 04일,DXVX
2.01804E+13,K,995993,DXVX,2018년 04월 13일,-,-,참석,"12,293,272","1,212,120",500,"6,147,372","606,060",2018년 04월 30일,2,2,2018년 01월 01일,2018년 05월 18일,2018년 05월 21일,DXVX
2.02103E+13,K,1182550,EDGC,2021년 03월 03일,2,-,참석,"40,609,344",-,100,"42,934,531",-,2021년 03월 18일,1,-,2021년 01월 01일,-,2021년 04월 12일,EDGC
2.01804E+13,K,657987,KX,2018년 04월 06일,1,-,참석,"7,071,553",-,500,"14,143,106",-,2018년 04월 24일,0.5,-,2018년 01월 01일,2018년 05월 14일,2018년 05월 15일,KX
2.02102E+13,K,657987,KX,2021년 02월 16일,2,1,참석,"22,667,982",-,500,"22,667,982",-,2021년 03월 03일,1,-,2021년 01월 01일,2021년 03월 24일,2021년 03월 24일,KX
2.02212E+13,K,445841,MDS테크,2022년 12월 26일,2,-,참석,"62,195,172",-,200,"20,731,724",-,2023년 01월 10일,3,-,2023년 01월 01일,-,2023년 01월 26일,MDS테크
2.01907E+13,K,671978,그리티,2019년 07월 15일,-,1,불참,"10,073,715",-,500,"10,073,715",-,2019년 08월 02일,1,-,2019년 01월 01일,2019년 08월 23일,2019년 08월 26일,그리티
2.01709E+13,K,377018,기가레인,2017년 09월 22일,1,1,참석,"23,960,268",-,500,"23,960,268",-,2017년 10월 08일,1,-,2017년 01월 01일,2017년 10월 31일,2017년 11월 01일,기가레인
2.01511E+13,K,439965,나노신소재,2015년 11월 11일,1,-,불참,"3,616,111",-,500,"7,232,222",-,2015년 11월 27일,0.5,-,2015년 01월 01일,2015년 12월 16일,2015년 12월 17일,나노신소재
2.02103E+13,K,819374,나무가,2021년 03월 15일,0,1,불참,"6,871,090",-,500,"6,871,090",-,2021년 04월 01일,1,-,2021년 01월 01일,-,2021년 04월 20일,나무가
2.02001E+13,K,819374,나무가,2020년 01월 31일,-,1,불참,"3,434,185",-,500,"3,434,185",-,2020년 02월 17일,1,-,2020년 01월 01일,-,2020년 03월 05일,나무가
2.02101E+13,K,1080252,넥스틴,2020년 12월 14일,1,-,참석,"6,319,600",-,500,"3,159,800",-,2021년 01월 14일,2,-,2021년 01월 01일,-,2021년 01월 27일,넥스틴
2.01612E+13,K,530121,디에스케이,2016년 12월 27일,0,1,불참,"6,500,000",-,500,"6,500,000",-,2017년 01월 31일,1,-,2017년 01월 01일,2017년 02월 22일,2017년 02월 23일,디에스케이
2.0181E+13,K,660121,디에이테크놀로지,2018년 10월 17일,2,-,불참,"41,582,080",-,500,"10,443,512",-,2018년 11월 01일,4,-,2018년 01월 01일,2018년 11월 26일,2018년 11월 27일,디에이테크놀로지
2.01811E+13,K,681373,디지캡,2018년 11월 05일,-,-,참석,"3,375,561",-,500,"3,531,115",-,2018년 11월 20일,1,-,2018년 01월 01일,2018년 12월 07일,2018년 12월 10일,디지캡
2.01501E+13,K,317104,라이온켐텍,2015년 01월 07일,2,-,참석,"5,021,712",-,500,"10,163,425",-,2015년 02월 02일,0.5,-,2015년 01월 01일,2015년 02월 16일,2015년 02월 17일,라이온켐텍
2.02306E+13,K,317104,라이온켐텍,2023년 06월 30일,-,1,불참,"17,950,880",-,500,"17,950,880",-,2023년 07월 20일,1,-,2023년 01월 01일,-,2023년 08월 08일,라이온켐텍
2.01901E+13,K,317104,라이온켐텍,2019년 01월 07일,2,-,참석,"2,972,533",-,500,"15,386,005",-,2019년 02월 01일,0.2,-,2019년 01월 01일,2019년 02월 25일,2019년 02월 26일,라이온켐텍
2.02203E+13,K,808022,메지온,2022년 03월 22일,3,-,참석,"17,828,012",-,500,"8,914,006",-,2022년 04월 06일,2,-,2022년 01월 01일,-,2022년 04월 25일,메지온
2.01801E+13,K,599285,서플러스글로벌,2018년 01월 22일,3,-,참석,"18,494,000",-,100,"18,494,000",-,2018년 02월 08일,1,-,2018년 01월 01일,2018년 02월 27일,2018년 02월 28일,서플러스글로벌
2.01808E+13,K,327819,선익시스템,2018년 08월 14일,1,-,참석,"2,999,295",-,500,"6,000,000",-,2018년 08월 29일,0.5,-,2018년 01월 01일,2018년 09월 17일,2018년 09월 18일,선익시스템
2.01901E+13,K,449254,쎄트렉아이,2019년 01월 29일,2,-,참석,"3,608,497",-,500,"3,659,990",-,2019년 02월 14일,1,-,2019년 01월 01일,2019년 03월 06일,2019년 03월 07일,쎄트렉아이
2.01706E+13,K,612489,아이쓰리시스템,2017년 06월 27일,-,-,참석,"3,339,360",-,500,"3,374,400",-,2017년 07월 17일,1,-,2017년 01월 01일,2017년 08월 04일,2017년 08월 07일,아이쓰리시스템
2.0221E+13,K,1302853,아이씨에이치,2022년 10월 20일,2,-,참석,"11,329,510",-,500,"5,664,755",-,2022년 11월 04일,2,-,2022년 01월 01일,-,2022년 11월 23일,아이씨에이치
2.01504E+13,K,915508,알엔투테크놀로지,2015년 04월 15일,0,0,참석,"2,386,828","331,564",500,"2,386,828","331,564",2015년 04월 30일,1,1,2015년 01월 01일,2015년 05월 19일,2015년 05월 20일,알엔투테크놀로지
2.02201E+13,K,604268,에이프로,2022년 01월 24일,1,-,참석,"7,065,942",-,500,"7,065,942",-,2022년 02월 08일,1,-,2022년 01월 01일,-,2022년 03월 04일,에이프로
2.02401E+13,K,1514698,엑스플러스,2024년 01월 30일,1,-,참석,"56,778,657",-,100,"18,927,000",-,2024년 02월 22일,3,-,2024년 01월 01일,-,2024년 03월 25일,엑스플러스
2.0181E+13,K,1084364,엔지스테크널러지,2018년 10월 15일,-,-,참석,"6,254,360",-,500,"3,127,180",-,2018년 10월 30일,2,-,2018년 01월 01일,2018년 11월 16일,2018년 11월 19일,엔지스테크널러지
2.01712E+13,K,977650,엔케이맥스,2017년 12월 11일,1,-,참석,"11,988,565",-,500,"11,988,565",-,2018년 01월 01일,1,-,2018년 01월 01일,2018년 01월 25일,2018년 01월 26일,엔케이맥스
2.02312E+13,K,977650,엔케이맥스,2023년 12월 06일,-,2,참석,"41,433,988",-,500,"41,435,703",-,2023년 12월 22일,1,-,2023년 01월 01일,-,2024년 01월 12일,엔케이맥스
2.02102E+13,K,415707,엔텔스,2021년 02월 17일,1,-,참석,"3,345,597",-,500,"6,899,227",-,2021년 03월 04일,0.5,-,2021년 01월 01일,-,2021년 03월 26일,엔텔스
2.02109E+13,K,1441611,원티드랩,2021년 09월 27일,-,-,불참,"4,703,068",-,500,"4,703,068",-,2021년 10월 12일,1,-,2021년 01월 01일,-,2021년 10월 28일,원티드랩
2.01808E+13,K,864338,웹스,2018년 08월 27일,-,-,참석,"6,849,238",-,500,"6,849,238",-,2018년 09월 11일,1,-,2018년 01월 01일,2018년 09월 27일,2018년 09월 28일,웹스
2.02403E+13,K,592653,유비벨록스,2024년 03월 19일,-,1,불참,"7,273,465",-,500,"7,456,734",-,2024년 04월 03일,1,-,2024년 01월 01일,-,2024년 05월 03일,유비벨록스
2.0211E+13,K,694942,이미지스,2021년 10월 25일,2,-,참석,"7,659,148",-,500,"7,669,128",-,2021년 11월 12일,1,-,2021년 01월 01일,-,2021년 12월 01일,이미지스
2.01607E+13,K,616290,이엠넷,2016년 07월 27일,2,-,참석,"5,500,000",-,500,"5,500,000",-,2016년 08월 12일,1,-,2016년 01월 01일,2016년 09월 05일,2016년 09월 06일,이엠넷
2.01805E+13,K,616290,이엠넷,2018년 05월 30일,2,-,참석,"11,138,039",-,500,"11,138,039",-,2018년 06월 15일,1,-,2018년 01월 01일,2018년 07월 09일,2018년 07월 10일,이엠넷
2.01812E+13,K,292434,인트론바이오,2018년 12월 18일,-,-,불참,"14,972,283","420,000",500,"15,038,462","420,000",2019년 01월 11일,1,1,2019년 01월 01일,2019년 01월 31일,2019년 02월 01일,인트론바이오
2.01602E+13,K,923826,일월지엠엘,2016년 02월 04일,-,1,참석,"5,080,300",-,500,"5,080,300",0,2016년 02월 19일,1,-,2016년 01월 01일,2016년 03월 07일,2016년 03월 08일,일월지엠엘
2.0151E+13,K,666204,제너셈,2015년 10월 26일,3,-,참석,"4,384,587",-,500,"4,384,587",-,2015년 11월 11일,1,-,2015년 01월 01일,2015년 12월 04일,2015년 12월 07일,제너셈
2.0231E+13,K,958327,지앤비에스 에코,2023년 10월 11일,-,2,불참,"22,518,009",-,500,"7,506,003",-,2023년 10월 27일,3,-,2023년 01월 01일,-,2023년 11월 17일,지앤비에스 에코
2.01612E+13,K,585608,커넥트웨이브,2016년 12월 15일,-,-,참석,"6,449,911",-,500,"6,624,911",-,2017년 01월 01일,1,-,2017년 01월 01일,2017년 01월 18일,2017년 01월 19일,커넥트웨이브
2.02205E+13,K,562245,태웅로직스,2022년 05월 11일,1,-,참석,"18,879,792",-,100,"19,536,792",-,2022년 05월 26일,1,-,2022년 01월 01일,-,2022년 06월 20일,태웅로직스
2.01806E+13,K,926522,테고사이언스,2018년 06월 27일,1,-,참석,"4,037,317",-,500,"4,037,317",-,2018년 07월 12일,1,-,2018년 01월 01일,2018년 07월 26일,2018년 07월 27일,테고사이언스
2.01707E+13,K,1064069,토박스코리아,2017년 07월 18일,2,-,참석,"18,126,241",-,100,"18,126,246",-,2017년 08월 03일,1,-,2017년 01월 01일,2017년 08월 21일,2017년 08월 22일,토박스코리아
2.02211E+13,K,920379,티엘비,2022년 11월 02일,1,0,참석,"4,916,315",-,500,"4,916,315",-,2022년 11월 17일,1,-,2022년 01월 01일,-,2022년 12월 07일,티엘비
2.02312E+13,K,1301252,티이엠씨,2023년 12월 18일,7,-,참석,"10,626,108",-,500,"10,626,114",-,2024년 01월 03일,1,-,2024년 01월 01일,-,2024년 01월 25일,티이엠씨
2.02211E+13,K,604028,피코그램,2022년 11월 07일,2,-,참석,"15,185,415",-,100,"3,132,083",-,2022년 11월 22일,5,-,2022년 01월 01일,-,2022년 12월 07일,피코그램
2.01804E+13,K,367385,효성오앤비,2018년 04월 09일,1,0,불참,"2,690,000",-,500,"5,800,000",-,2018년 04월 24일,0.5,-,2017년 07월 01일,2018년 05월 17일,2018년 05월 18일,효성오앤비
2.01804E+13,K,167031,흥국,2018년 04월 18일,1,-,참석,"6,161,348",-,500,"6,161,348",-,2018년 05월 04일,1,-,2018년 01월 01일,2018년 05월 24일,2018년 05월 25일,흥국
